Cycle,Round,Bet,Bet Color,Rolls,Matches,Multiplier,Result,Loss Streak,Profit,Bankroll
1,1,5,YELLOW,"['PINK', 'GREEN', 'WHITE']",0,0,LOSE,1,-5,19995.0
1,2,15,RED,"['YELLOW', 'BLUE', 'PINK']",0,0,LOSE,2,-15,19980.0
1,3,35,WHITE,"['RED', 'PINK', 'BLUE']",0,0,LOSE,3,-35,19945.0
1,4,75,YELLOW,"['WHITE', 'BLUE', 'YELLOW']",1,1,WIN x1,0,75,20020.0
1,5,5,BLUE,"['PINK', 'PINK', 'BLUE']",1,1,WIN x1,0,5,20025.0
1,6,5,RED,"['RED', 'WHITE', 'YELLOW']",1,1,WIN x1,0,5,20030.0
1,7,5,PINK,"['BLUE', 'PINK', 'BLUE']",1,1,WIN x1,0,5,20035.0
1,8,5,BLUE,"['WHITE', 'GREEN', 'YELLOW']",0,0,LOSE,1,-5,20030.0
1,9,15,RED,"['RED', 'WHITE', 'RED']",2,2,WIN x2 (2 matches),0,30,20060.0
1,10,5,RED,"['RED', 'WHITE', 'RED']",2,2,WIN x2 (2 matches),0,10,20070.0
1,11,5,GREEN,"['GREEN', 'BLUE', 'WHITE']",1,1,WIN x1,0,5,20075.0
1,12,5,GREEN,"['RED', 'GREEN', 'PINK']",1,1,WIN x1,0,5,20080.0
1,13,5,YELLOW,"['BLUE', 'GREEN', 'RED']",0,0,LOSE,1,-5,20075.0
1,14,15,WHITE,"['GREEN', 'BLUE', 'PINK']",0,0,LOSE,2,-15,20060.0
1,15,35,RED,"['GREEN', 'RED', 'GREEN']",1,1,WIN x1,0,35,20095.0
1,16,5,PINK,"['PINK', 'WHITE', 'BLUE']",1,1,WIN x1,0,5,20100.0
1,17,5,PINK,"['RED', 'GREEN', 'YELLOW']",0,0,LOSE,1,-5,20095.0
1,18,15,BLUE,"['GREEN', 'WHITE', 'WHITE']",0,0,LOSE,2,-15,20080.0
1,19,35,YELLOW,"['WHITE', 'RED', 'PINK']",0,0,LOSE,3,-35,20045.0
1,20,75,BLUE,"['GREEN', 'PINK', 'WHITE']",0,0,LOSE,4,-75,19970.0
1,21,155,WHITE,"['PINK', 'RED', 'RED']",0,0,LOSE,5,-155,19815.0
1,22,315,GREEN,"['BLUE', 'WHITE', 'PINK']",0,0,LOSE,6,-315,19500.0
1,23,635,RED,"['BLUE', 'WHITE', 'PINK']",0,0,LOSE,7,-635,18865.0
1,24,1275,BLUE,"['PINK', 'RED', 'YELLOW']",0,0,LOSE,8,-1275,17590.0
1,25,2555,WHITE,"['RED', 'GREEN', 'YELLOW']",0,0,LOSE,9,-2555,15035.0
1,26,5115,WHITE,"['GREEN', 'PINK', 'BLUE']",0,0,LOSE,10,-5115,9920.0
1,27,5115,BLUE,"['GREEN', 'WHITE', 'PINK']",0,0,LOSE,11,-5115,4805.0
